Location,Name,Price,Rating,Cost,Hunger
California Burritos,California (only cheese),6,5,6.25,3
Taco stand,Shrimp,8,5,8.95,3
Rigoberto's Taco Shop,Fish,6,5,6,1
Pedro's Tacos,California Burrito,6,5,6.5,2
Kotija Jr.,Fish,6,5,6.5,4
El Zarape,Surf and Turf,7,5,7,4
Humbertos,Pollo california,6,5,6,1
Chili Peppers,Surf & Turf,9,5,9.43,4
California Burritos,Surf & Turf,7,5,7,3
Valentines Mexican Food,Pork california,7,5,7.9,3
Los Tacos,Local,7,5,7.9,2
Taco stand,California,8,4.9,8,2
"Colima's ",Colimas burrito,8,4.9,8.25,3
Rigoberto's Taco Shop,Al pastor,0,4.8,Free,3
"Saguaro's ",Vegetarian,5,4.8,5.25,3
"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",Carne Asada,4,4.8,4.59,4
Lolita's,Bean and Cheese,0,4.8,Free,2
Valentines Mexican Food,California,7,4.8,7.9,3
California Burritos,Chile relleno and carnitas,6,4.7,6.5,2
Taco Stand,California,7,4.7,7.49,4
Valentines Mexican Food,California,7,4.7,7.9,2
"Taco Stand Encinitas ",California,7,4.7,7.89,3
Taco Stand,California,7,4.6,7.49,2
California Burritos,California Everything,6,4.6,6.25,2
"Storehouse Kitchen ",Breakfast,0,4.6,Free,2
Taco Stand,California,7,4.5,7.49,3
Mikes Taco Club,California,8,4.5,8.59,3
Rigoberto's Taco Shop,"California ",6,4.5,6.6,3
Rigoberto's Taco Shop,Adobada,6,4.5,6.6,4
Taco stand,California,7,4.5,7.49,4
Rigoberto's Taco Shop,Chile Relleno,6,4.5,6.6,3
MXN on Washington,Bean and rice grande size,2,4.5,2.99,3
El Dorado Mexican Food,California,6,4.5,6.94,3
California Burritos,California Everything,6,4.5,6.25,1
California Burritos,California Everything,6,4.5,6.25,0
California Burritos,Carnitas,5,4.5,5.5,3
California Burritos,Carne asada everything,6,4.5,6.25,3
Lucha Libre North Park,Veg Out,6,4.5,6.95,3
Lucha Libre North Park,California - Pork Adobada,7,4.5,7.5,4
Taco Stand,Al Pastor,6,4.5,6.99,1
Valentines Mexican Food,California,7,4.5,7.9,4
Cancun Mexican & Seafood,"California ",6,4.5,6.99,5
Cancun Mexican & Seafood,"California ",6,4.5,6.99,4
California burritos,California everything mini,4,4.5,4.75,3
California burritos,Surf & Turf,6,4.5,6.75,3
Taco Stand Encinitas,California,7,4.5,7.89,4
Los Tacos,Local,8,4.5,8.5,3
Taco Stand,"California ",7,4.5,7.89,4
Taco stand,Carne asada,7,4.4,7.89,3
Taco Surf PB,California,7,4.4,7.14,3
Lucha Libre North Park,Nutty,7,4.4,7.5,2
Los Panchos Taco Shop,Bitchin California,7,4.4,7.25,3
Mikes Taco Club,California,8,4.3,8.59,3
El Pueblo Mexican Food,California,4,4.3,4.99,3
Los Tacos,Local,7,4.3,7.9,3
Rigoberto's Taco Shop La Jolla,California,6,4.3,6.85,2
Los palmitos,California,7,4.3,7.1,2
Taco Villa,Carne asada,6,4.3,6.99,3
Los Tacos,Local,8,4.3,8.5,3
Rigoberto's Taco Shop,Carne asada,6,4.25,6.6,3
California Burritos,California Everything,6,4.25,6.25,3
Lucha Libre North Park,California - Pork Adobada,7,4.25,7.5,3
Rigoberto's Taco Shop,California,6,4.25,6.6,3
Ortiz's Taco Shop #2,California,6,4.25,6.39,3
Lupe's Taco Shop,Surfin California,7,4.25,7.89,3
Rigoberto's Taco Shop,"California ",6,4.25,6.85,2
Pollos Maria,California,6,4.2,6.59,4
Taco Stand,California,7,4.2,7.49,3
Taco stand,Carne asada,7,4.2,7.89,4
Cancun Mexican & Seafood,California,6,4.2,6.99,5
Taco stand,California,7,4.2,7.49,2
Rigoberto's Taco Shop,Bacon breakfast,6,4.2,6.25,2
Pokirrito,"Pokirrito classic ",11,4.2,11.95,3
"Los tacos ",Fusion,8,4.2,8.5,3
California Burritos,Carne asada everything,6,4.2,6.25,3
Los Tacos,"California ",7,4.2,7.9,2
Rigoberto's Taco Shop,Bacon breakfast,6,4.2,6.3,2
Valentines Mexican Food,"California ",7,4.2,7.9,4
Taco Villa,Chicken and rice,4,4.2,4.95,3
Taco Stand Encinitas,"California ",7,4.2,7.49,3
Taco Stand Encinitas,"California ",7,4.2,7.49,3
Ortiz's Taco Shop #2,California,6,4.2,6.39,2
Valentines Mexican Food,Carne asada,6,4.2,6.75,3
Los Tacos,Local,7,4.2,7.9,4
Los Tacos,Local,7,4.2,7.9,4
Roberto's Taco Shop Hillcrest,Golden State,25,4.2,25,3
Roberto's Taco Shop Hillcrest,California,7,4.2,7,1
Kotija Jr,Steak fajitas,7,4.2,7.1,4
Taco Stand,"California ",7,4.2,7.89,5
Taco Stand,"Surf and turf ",8,4.1,8.49,4
Vallarta express,Quesaburro,6,4.1,6.95,3
California Burritos,California Everything,6,4.1,6.25,3
Taco Surf PB,California,7,4.1,7.14,4
Los Tacos,Local,7,4.1,7.9,4
Vallarta Express,California,7,4.1,7.5,4
California burritos,California everything,6,4.1,6.5,4
Vallarta Express,California,8,4.1,8.35,4
Rigoberto's Taco Shop,"California ",6,4.1,6.85,3
Graciela's Taco Shop,"Adobada ",5,4,5.99,5
Graciela's Taco Shop,Barbacoa,5,4,5.99,2
Lolita's taco shop,2 in 1,8,4,8.75,3
Colima's Mexican Food,Hawaiian,6,4,6.29,2
Colima's Mexican Food,Bandido,6,4,6.49,3
El Indio,California,7,4,7.84,2
La Perla Cocina,Oaxacalifornia,9,4,9.99,3
"Porkyland ",Deborah's special,8,4,8.25,5
"Porkyland ",Chicken nopalito,7,4,7.95,4
"Porkyland ",California,8,4,8.75,4
California Burritos,California Everything,6,4,6.25,5
Vallarta express,California,6,4,6.65,4
Taco stand,California,7,4,7.49,3
Taco stand,California,7,4,7.49,3
Rigoberto's Taco Shop,Carne asada,6,4,6.6,4
Rigoberto's Taco Shop,Carnitas,7,4,7.5,3
Los Primos Mexican Food,619 Burrito Original,11,4,11.75,5
La Perla Cocina,California,6,4,6.5,3
Chipotle,Custom,7,4,7,2
